"Date","Price","Open","High","Low","Vol.","Change %"
"09/10/2014","1,995.70","1,988.40","1,996.70","1,983.00","","0.37%"
"09/09/2014","1,988.40","2,000.70","2,001.00","1,984.60","","-0.65%"
"09/08/2014","2,001.50","2,007.20","2,007.20","1,995.60","","-0.31%"
"09/05/2014","2,007.70","1,998.00","2,007.70","1,990.10","","0.50%"
"09/04/2014","1,997.70","2,001.70","2,011.20","1,992.50","","-0.15%"
"09/03/2014","2,000.70","2,003.60","2,009.30","1,998.10","","-0.08%"
"09/02/2014","2,002.30","2,004.10","2,006.10","1,994.80","","-0.05%"
"08/29/2014","2,003.40","1,998.50","2,003.40","1,994.70","","0.34%"
"08/28/2014","1,996.70","1,997.40","1,998.50","1,990.50","","-0.17%"
"08/27/2014","2,000.10","2,000.50","2,002.10","1,996.20","","0.00%"
"08/26/2014","2,000.00","1,998.60","2,005.00","1,998.60","","0.11%"
"08/25/2014","1,997.90","1,991.70","2,002.00","1,991.70","","0.48%"
"08/22/2014","1,988.40","1,992.60","1,993.50","1,984.80","","-0.20%"
"08/21/2014","1,992.40","1,986.80","1,994.80","1,986.80","","0.30%"
"08/20/2014","1,986.50","1,980.50","1,988.60","1,977.70","","0.25%"
"08/19/2014","1,981.60","1,972.70","1,982.60","1,972.70","","0.50%"
"08/18/2014","1,971.70","1,958.40","1,972.00","1,958.40","","0.85%"
"08/15/2014","1,955.10","1,958.90","1,964.00","1,941.50","","-0.01%"
"08/14/2014","1,955.20","1,947.40","1,955.20","1,947.40","","0.44%"
"08/13/2014","1,946.70","1,935.60","1,948.40","1,935.60","","0.67%"
"08/12/2014","1,933.80","1,935.70","1,939.70","1,928.30","","-0.16%"
"08/11/2014","1,936.90","1,933.40","1,944.90","1,933.40","","0.27%"
"08/08/2014","1,931.60","1,910.30","1,932.40","1,909.00","","1.15%"
"08/07/2014","1,909.60","1,923.00","1,928.90","1,904.80","","-0.55%"
"08/06/2014","1,920.20","1,917.30","1,927.90","1,911.50","","0.00%"
"08/05/2014","1,920.20","1,936.30","1,936.30","1,913.80","","-0.97%"
"08/04/2014","1,939.00","1,926.60","1,942.90","1,921.20","","0.72%"
"08/01/2014","1,925.20","1,929.80","1,937.30","1,916.40","","-0.28%"
"07/31/2014","1,930.70","1,965.10","1,965.10","1,930.70","","-2.00%"
"07/30/2014","1,970.10","1,973.20","1,978.90","1,962.40","","0.01%"
"07/29/2014","1,970.00","1,980.00","1,984.80","1,970.00","","-0.45%"
"07/28/2014","1,978.90","1,978.20","1,981.50","1,967.30","","0.03%"
"07/25/2014","1,978.30","1,984.60","1,984.60","1,974.40","","-0.49%"
"07/24/2014","1,988.00","1,988.10","1,991.40","1,985.80","","0.05%"
"07/23/2014","1,987.00","1,985.30","1,989.20","1,982.40","","0.18%"
"07/22/2014","1,983.50","1,975.70","1,986.20","1,975.70","","0.50%"
"07/21/2014","1,973.60","1,976.90","1,976.90","1,965.80","","-0.23%"
"07/18/2014","1,978.20","1,961.50","1,979.90","1,960.80","","1.03%"
"07/17/2014","1,958.10","1,979.80","1,981.80","1,955.60","","-1.19%"
"07/16/2014","1,981.60","1,976.30","1,983.90","1,975.70","","0.42%"
"07/15/2014","1,973.30","1,977.40","1,982.50","1,965.30","","-0.19%"
"07/14/2014","1,977.10","1,969.90","1,979.80","1,969.90","","0.48%"
"07/11/2014","1,967.60","1,965.80","1,968.70","1,959.60","","0.15%"
"07/10/2014","1,964.70","1,966.70","1,969.80","1,952.90","","-0.41%"
"07/09/2014","1,972.80","1,965.10","1,974.20","1,965.10","","0.46%"
"07/08/2014","1,963.70","1,976.40","1,976.40","1,959.50","","-0.71%"
"07/07/2014","1,977.70","1,984.20","1,984.20","1,974.90","","-0.39%"
"07/03/2014","1,985.40","1,975.90","1,985.60","1,975.90","","0.55%"
"07/02/2014","1,974.60","1,973.10","1,976.70","1,972.60","","0.07%"
